name,version,description,lastPublished,fileCount,unpackedSize,dependenciesCount,devDependenciesCount,keywords,homepage,repositoryUrl,license,status,isFavorite,codeFileCount,docFileCount,totalLinesOfCode,entrypoints,hasTypes,techStack,id
"@beaconbay/ck-search","0.7.0","Semantic code search - grep that understands what you're looking for. Find code by meaning, not just keywords. Powered by AI embeddings with tree-sitter AST parsing.","2025-10-15T21:18:52.035Z",7,41048,1,0,"code-search;semantic-search;search;grep;ripgrep;code;ast;tree-sitter;cli;rust;embeddings;ai;ml;vector-search;developer-tools;devtools;code-analysis;refactoring;mcp;claude","https://github.com/BeaconBay/ck#readme","https://github.com/BeaconBay/ck","MIT OR Apache-2.0","enriched",1,4,1,336,"{""main"":""index.js""}",false,"","0d8e7830-4098-4596-9f7b-020f8c7c2890"
"@brewedbytes/turbocache-js","1.0.0-alpha.5","High-performance, intelligent caching library for TypeScript/NestJS microservices","2025-11-14T20:29:58.625Z",70,104648,6,15,"cache;caching;redis;nestjs;typescript;decorator;microservices;performance;memory-cache;distributed-cache;cache-manager;node-cache;cache-decorator;ttl;lru;cache-strategy;invalidation;cache-warming","https://github.com/Subhajit1993/turbocache-js#readme","https://github.com/Subhajit1993/turbocache-js","MIT","enriched",1,35,1,1669,"{""main"":""dist/index.js"",""types"":""dist/index.d.ts""}",true,"TypeScript","89d343d1-9542-471d-a067-bbe7d20af0bf"
"@brutalist/mcp","0.8.1","Deploy Claude, Codex & Gemini CLI agents to demolish your work before users do. Real file analysis. Brutal honesty. Now with conversation continuation & intelligent pagination.","2025-11-25T10:11:01.619Z",126,713921,3,15,"mcp-server;model-context-protocol;anthropic-claude;claude-code;ai-code-review;code-analysis;static-analysis;code-quality;security-audit;vulnerability-scanning;architecture-review;code-critique;technical-debt;multi-agent;brutalist;brutal;honest-ai;reality-check;mcp;llm;ai;claude;codex;gemini;openai;anthropic;google-ai;cli-agents;developer-tools;devtools;code-review;research-critique;product-review;infrastructure-review;production-ready;pagination;chunking","https://github.com/ejmockler/brutalist-mcp#readme","https://github.com/ejmockler/brutalist-mcp","MIT","enriched",1,63,1,13768,"{""main"":""dist/index.js"",""types"":""./dist/index.d.ts""}",true,"TypeScript;Express","70ae4c35-fc8c-40b6-86f0-fe1994f71f29"
"@byterover/cipher","0.3.0","Memory-powered AI agent framework with real-time WebSocket communication, MCP integration, and composable patterns","2025-08-28T04:17:10.145Z",2096,72636917,36,29,"mcp;model-context-protocol;memory;vibe-coding;byterover;openai","","","Elastic-2.0","enriched",1,2074,1,1258366,"{""main"":""dist/index.js"",""module"":""dist/index.js"",""types"":""dist/index.d.ts"",""exports"":""{\"".\"":{\""types\"":\""./dist/index.d.ts\"",\""import\"":\""./dist/index.js\"",\""require\"":\""./dist/index.cjs\""},\""./core\"":{\""types\"":\""./dist/src/core/index.d.ts\"",\""import\"":\""./dist/src/core/index.js\"",\""require\"":\""./dist/src/core/index.cjs\""},\""./package.json\"":\""./package.json\""}""}",true,"TypeScript;Express","9b4bbb73-47d1-473b-a8ae-8eb4620a47fc"
"@charmland/crush","0.21.0","A powerful terminal-based AI assistant for developers, providing intelligent coding assistance directly in your terminal.","2025-12-04T16:25:16.287Z",6,34573,4,0,"","https://charm.sh/crush","https://github.com/charmbracelet/crush","FSL-1.1-MIT","enriched",1,4,2,302,"{}",false,"","5cdce6a6-32a5-4fa0-82ae-7ac00a44f00c"
"@cherrystudio/embedjs","0.1.33","A NodeJS RAG framework to easily work with LLMs and custom datasets","2025-11-11T06:17:37.957Z",39,141591,8,3,"llm;ai;gpt3;chain;prompt;prompt engineering;chatgpt;machine learning;ml;anthropic;embeddings;vectorstores","https://github.com/CherryHQ/embed-js#readme","https://github.com/CherryHQ/embed-js","Apache-2.0","enriched",1,28,2,3595,"{""main"":""./src/index.js"",""module"":""./src/index.js"",""types"":""./src/index.d.ts""}",true,"TypeScript","88897650-9ea6-434b-b9a7-382b52407493"
"@cherrystudio/embedjs-anthropic","0.1.33","Enable usage of Anthropic models with embedjs","2025-11-11T06:17:50.198Z",11,10559,4,0,"llm;ai;gpt3;chain;prompt;prompt engineering;chatgpt;machine learning;ml;anthropic;embeddings;vectorstores","https://github.com/CherryHQ/embed-js#readme","https://github.com/CherryHQ/embed-js","Apache-2.0","enriched",1,7,2,145,"{""main"":""./src/index.js"",""module"":""./src/index.js"",""types"":""./src/index.d.ts""}",true,"TypeScript","ea43c248-9eb3-46f9-aa6f-40692b28c01e"
"@cherrystudio/embedjs-lancedb","0.1.33","Add LanceDb support to embedjs","2025-11-11T06:17:52.453Z",11,17307,4,0,"llm;ai;gpt3;chain;prompt;prompt engineering;chatgpt;machine learning;ml;anthropic;embeddings;vectorstores","https://github.com/CherryHQ/embed-js#readme","https://github.com/CherryHQ/embed-js","Apache-2.0","enriched",1,7,2,303,"{""main"":""./src/index.js"",""module"":""./src/index.js"",""types"":""./src/index.d.ts""}",true,"TypeScript","e1acbde7-9fb8-4ba4-a8f8-fe6b95534176"
"@cherrystudio/embedjs-loader-csv","0.1.33","CSV loader for embedjs","2025-11-11T06:17:23.528Z",11,12603,5,0,"llm;ai;gpt3;chain;prompt;prompt engineering;chatgpt;machine learning;ml;anthropic;embeddings;vectorstores","https://github.com/CherryHQ/embed-js#readme","https://github.com/CherryHQ/embed-js","Apache-2.0","enriched",1,7,2,195,"{""main"":""./src/index.js"",""module"":""./src/index.js"",""types"":""./src/index.d.ts""}",true,"TypeScript","49d4d451-1a7c-4200-8d65-789eaf21f5a4"
"@cherrystudio/embedjs-loader-image","0.1.33","Load images into embedjs","2025-11-11T06:17:25.337Z",10,13155,8,0,"llm;ai;gpt3;chain;prompt;prompt engineering;chatgpt;machine learning;ml;anthropic;embeddings;vectorstores","https://github.com/CherryHQ/embed-js#readme","https://github.com/CherryHQ/embed-js","Apache-2.0","enriched",1,7,1,314,"{""main"":""./src/index.js"",""module"":""./src/index.js"",""types"":""./src/index.d.ts""}",true,"TypeScript","e30fc024-07ef-4205-b703-d617a63438de"
"@cherrystudio/embedjs-loader-pdf","0.1.33","PDF loader for embedjs","2025-11-11T06:17:24.247Z",11,11626,5,0,"llm;ai;gpt3;chain;prompt;prompt engineering;chatgpt;machine learning;ml;anthropic;embeddings;vectorstores","https://github.com/CherryHQ/embed-js#readme","https://github.com/CherryHQ/embed-js","Apache-2.0","enriched",1,7,2,173,"{""main"":""./src/index.js"",""module"":""./src/index.js"",""types"":""./src/index.d.ts""}",true,"TypeScript","aff9941a-601e-4f35-915f-80659987e9a5"
"@cherrystudio/embedjs-loader-sitemap","0.1.33","Sitemap recursive loader for embedjs","2025-11-11T06:17:23.120Z",11,13044,5,0,"llm;ai;gpt3;chain;prompt;prompt engineering;chatgpt;machine learning;ml;anthropic;embeddings;vectorstores","https://github.com/CherryHQ/embed-js#readme","https://github.com/CherryHQ/embed-js","Apache-2.0","enriched",1,7,2,208,"{""main"":""./src/index.js"",""module"":""./src/index.js"",""types"":""./src/index.d.ts""}",true,"TypeScript","ff9863dc-4ee0-46c9-b2d9-e0e3948d3a22"
"@cherrystudio/embedjs-loader-web","0.1.33","Web page loader for embedjs","2025-11-11T06:17:22.923Z",11,13361,6,1,"llm;ai;gpt3;chain;prompt;prompt engineering;chatgpt;machine learning;ml;anthropic;embeddings;vectorstores","https://github.com/CherryHQ/embed-js#readme","https://github.com/CherryHQ/embed-js","Apache-2.0","enriched",1,7,2,213,"{""main"":""./src/index.js"",""module"":""./src/index.js"",""types"":""./src/index.d.ts""}",true,"TypeScript","5c651de0-0a05-4cdb-afcf-5119bab82405"
"@cherrystudio/embedjs-loader-xml","0.1.33","XML loader for embedjs","2025-11-11T06:17:24.461Z",10,8815,4,0,"llm;ai;gpt3;chain;prompt;prompt engineering;chatgpt;machine learning;ml;anthropic;embeddings;vectorstores","https://github.com/CherryHQ/embed-js#readme","https://github.com/CherryHQ/embed-js","Apache-2.0","enriched",1,7,1,207,"{""main"":""./src/index.js"",""module"":""./src/index.js"",""types"":""./src/index.d.ts""}",true,"TypeScript","74f63a86-5f6e-4c0e-819e-b8d4992bc74a"
"@cherrystudio/embedjs-loader-youtube","0.1.33","Youtube transcript and channel recursive loader for embedjs","2025-11-11T06:18:01.874Z",19,24926,7,1,"llm;ai;gpt3;chain;prompt;prompt engineering;chatgpt;machine learning;ml;anthropic;embeddings;vectorstores","https://github.com/CherryHQ/embed-js#readme","https://github.com/CherryHQ/embed-js","Apache-2.0","enriched",1,13,2,511,"{""main"":""./src/index.js"",""module"":""./src/index.js"",""types"":""./src/index.d.ts""}",true,"TypeScript","c3b83710-053d-4250-8c2d-267bc5351457"
"@chrislyons-dev/archlette","1.2.0","Architecture-as-Code toolkit for automated diagrams, docs, and releases.","2025-10-28T03:54:53.382Z",70,399487,10,22,"architecture-as-code;architecture;c4;plantuml;mermaid;inframap;diagram;documentation;ci;cli;toolkit","https://chrislyons-dev.github.io/archlette/","https://github.com/chrislyons-dev/archlette","MIT","enriched",1,56,2,12269,"{}",false,"TypeScript","11af2b8c-ad75-44e5-a725-b171a0b6739d"
"@circuitorg/agent-cli","1.3.0","A CLI tool for publishing agents to the Circuit platform","2025-11-13T16:19:11.270Z",8,455641391,9,3,"cli;circuit;typescript;bun","https://github.com/circuitorg/agents-cli#readme","https://github.com/circuitorg/agents-cli","MIT","enriched",1,0,0,0,"{}",false,"TypeScript","0cf941bd-2b87-4021-a876-4e7af802ce15"
"@codai/memorai-mcp","9.6.5","MemorAI Advanced MCP Server - CBD-Based High-Performance Vector Memory System with HTTP/SSE Support","2025-08-04T12:58:24.753Z",12,110222,9,6,"mcp;memory;ai;vector;embeddings;semantic-search;model-context-protocol;cbd;hpkv;http;sse;server-sent-events","https://github.com/codai-ecosystem/codai-project#readme","https://github.com/codai-ecosystem/codai-project","MIT","enriched",1,10,0,3047,"{""main"":""dist/index.js"",""types"":""./dist/index.d.ts"",""exports"":""{\"".\"":\""./dist/index.js\"",\""./server\"":\""./dist/cbd-mcp-server.js\"",\""./http\"":\""./dist/http-mcp-server.js\""}""}",true,"TypeScript;Express","1b3fd400-38bc-4e51-9631-91c9ac0ab0ef"
"@cojacklabs/autoforge","0.4.1","[![npm version](https://img.shields.io/npm/v/autoforge?color=0f9d58&label=autoforge)](https://www.npmjs.com/package/@cojacklabs/autoforge)","2025-11-06T15:02:07.838Z",157,455251,4,1,"","","","MIT","enriched",1,36,68,5176,"{}",false,"","f88755d8-1cf0-4ce1-b9c5-e809e0f1c6d5"
"@context-sync/server","1.0.1","Universal AI Memory - Never lose context switching between Claude, VsCode, Continue, Windsurf, Zed, Cursor & any other AI tool that supports MCP","2025-11-19T05:46:38.146Z",119,880807,5,5,"mcp;mcp-server;model-context-protocol;ai;ai-assistant;context;memory;claude;cursor;github-copilot;workspace;file-access;file-operations;code-search;git-integration;developer-tools;productivity;typescript;continue;continue.dev;zed;windsurf;tabnine;copilot","https://github.com/Intina47/context-sync#readme","https://github.com/Intina47/context-sync","MIT","enriched",1,62,2,17016,"{""main"":""dist/index.js"",""types"":""dist/index.d.ts""}",true,"TypeScript","989ff63b-f9a8-4487-bd33-36ecd0004773"
"@contrast/agent-bundle","5.48.0","Contrast Security Node.js Agent bundle with all dependencies included","2025-12-03T22:09:41.188Z",6202,404632475,1,0,"","","","SEE LICENSE IN LICENSE","enriched",1,0,0,0,"{""main"":""./lib/index.js"",""exports"":""{\"".\"":{\""import\"":\""./lib/esm-loader.mjs\"",\""require\"":\""./lib/index.js\""},\""./lib/esm-loader.mjs\"":\""./lib/esm-loader.mjs\"",\""./lib/index.js\"":\""./lib/index.js\""}""}",false,"","3dfb2dfb-a47a-4a26-83fe-c6e34a62c17e"
"@contrast/agentify","1.59.1","Configures Contrast agent services and instrumentation within an application","2025-12-02T16:23:25.312Z",11,35500,18,0,"","","","SEE LICENSE IN LICENSE","enriched",1,9,1,1160,"{""main"":""lib/index.js"",""types"":""lib/index.d.ts""}",true,"TypeScript","2f42f4f5-1463-45d5-bad2-1d27f9b9a1c5"
"@contrast/assess","1.66.0","Contrast service providing framework-agnostic Assess support","2025-12-02T16:23:24.684Z",178,687741,13,0,"","","","SEE LICENSE IN LICENSE","enriched",1,177,0,22904,"{""main"":""lib/index.js"",""types"":""lib/index.d.ts""}",true,"TypeScript","ce4f9e45-6e3c-482a-ae0a-f82b6f584f8b"
"@contrast/deadzones","1.31.1","Configures Contrast agent services and instrumentation within an application","2025-12-02T16:23:42.597Z",23,43799,4,0,"","","","SEE LICENSE IN LICENSE","enriched",1,22,0,1438,"{""main"":""lib/index.js"",""types"":""lib/index.d.ts""}",true,"TypeScript","fd82ee90-c366-4ee1-9462-c51bebf7344a"
"@contrast/metrics","1.36.1","Records and logs route latency","2025-12-02T16:23:49.445Z",4,5991,5,0,"","","","SEE LICENSE IN LICENSE","enriched",1,3,0,178,"{""main"":""lib/index.js"",""types"":""lib/index.d.ts""}",true,"TypeScript","6e6789b2-2836-411a-9b3c-c55b918736d1"
"@contrast/protect","1.71.0","Contrast service providing framework-agnostic Protect support","2025-12-02T16:23:52.377Z",68,210383,15,0,"","","","SEE LICENSE IN LICENSE","enriched",1,65,2,6986,"{""main"":""lib/index.js"",""types"":""lib/index.d.ts""}",true,"TypeScript","4dfded45-58a7-49c8-9625-4665c1c7c1f3"
"@contrast/reporter","1.57.1","Subscribes to agent messages and reports them","2025-12-02T16:23:55.250Z",61,143638,10,0,"","","","SEE LICENSE IN LICENSE","enriched",1,59,1,4718,"{""main"":""lib/index.js"",""types"":""lib/index.d.ts""}",true,"TypeScript","da685009-eb68-4996-8df7-6278c2d1ebd3"
"@contrast/scopes","1.29.1","Handles AsyncLocalStorage scopes","2025-12-02T16:24:06.504Z",14,30588,4,0,"","","","SEE LICENSE IN LICENSE","enriched",1,13,0,998,"{""main"":""lib/index.js"",""types"":""lib/index.d.ts""}",true,"TypeScript","f1c570c1-296a-430c-8e73-8f356b83df0f"
"@contrast/sources","1.5.1","Instruments to have incoming messages run in async-local request scope.","2025-12-02T16:24:13.834Z",8,24154,3,0,"","","","ISC","enriched",1,8,0,805,"{""main"":""lib/index.js""}",false,"","dc3f6f3f-36d1-4452-89e8-9311c41f0de0"
"@contrast/telemetry","1.34.1","Telemetry reporting for the Contrast Node.js agent.","2025-12-02T16:24:09.037Z",3,7060,6,0,"","","","SEE LICENSE IN LICENSE","enriched",1,2,0,213,"{""main"":""lib/index.js""}",false,"","b856c81d-69e1-4c89-9410-f93e0981788c"
"@cragjs/core","0.1.1","Code Review & Analysis Gateway - Static analysis + LLM orchestration with semantic search","2025-11-12T01:35:39.986Z",163,435154,6,11,"code-analysis;static-analysis;llm;typescript;code-review;ast;tree-sitter;ollama;openrouter;semantic-search;vector-store","https://github.com/juliumnix/crag#readme","https://github.com/juliumnix/crag","MIT","enriched",1,81,1,8411,"{""main"":""dist/index.js"",""types"":""dist/index.d.ts""}",true,"TypeScript","d1a530c5-f0d5-4555-8a15-e8a474252a2d"
"@crewchief/maproom-mcp","3.3.11","MCP server for semantic code search with PostgreSQL and pgvector","2025-12-04T20:06:15.798Z",32,65211273,6,3,"mcp;embeddings;semantic-search;code-search;postgresql;pgvector","https://github.com/danielbushman/crewchief/tree/main/packages/maproom-mcp#readme","https://github.com/danielbushman/crewchief","MIT","enriched",1,25,2,5516,"{""main"":""dist/index.js""}",false,"TypeScript","277c5186-4305-4e3e-a60d-d67f45038ba5"
"@d-kuehn/eslint-config","31.9.6","[![Latest Release](https://gitlab.com/d-kuehn/eslint-config/-/badges/release.svg)](https://gitlab.com/d-kuehn/eslint-config/-/releases)","2025-12-07T09:19:52.388Z",4,79798,28,5,"eslint-config","https://gitlab.com/d-kuehn/eslint-config","ssh://git@gitlab.com/d-kuehn/eslint-config","MIT","enriched",1,3,1,2386,"{""types"":""./dist/index.d.ts"",""exports"":""{\"".\"":{\""import\"":\""./dist/index.js\""}}""}",true,"TypeScript;Tailwind","804f242f-783f-4af8-af75-4f13a00bf2b6"
"@dbestai/mcp-of-mcps","3.1.0","MCP of MCPs is a meta-server that merges all your MCP servers into a single smart endpoint. It gives AI agents instant tool discovery, selective schema loading, and massively cheaper execution, so you stop wasting tokens and time.","2025-11-25T09:16:50.513Z",26,6534877,7,5,"","https://github.com/eliavamar/mcp-of-mcps#readme","https://github.com/eliavamar/mcp-of-mcps","ISC","enriched",1,23,1,2273,"{""main"":""index.js""}",false,"TypeScript","30526476-0086-4576-9fd0-a51699042e75"
"@deepractice-ai/agent-sdk","0.13.0","High-performance Agent SDK with RxJS event-driven architecture","2025-11-17T02:18:42.149Z",6,168637,6,7,"ai;agent;sdk;claude;rxjs;deepractice","https://github.com/Deepractice/Agent#readme","https://github.com/Deepractice/Agent","MIT","enriched",1,3,1,1862,"{""main"":""dist/index.js"",""module"":""dist/index.js"",""types"":""dist/index.d.ts"",""exports"":""{\"".\"":{\""types\"":\""./dist/index.d.ts\"",\""import\"":\""./dist/index.js\""}}""}",true,"TypeScript","0b845a72-ad77-4255-a10c-cf6b553ff1cf"
"@deriv-com/shiftai-cli","1.0.12","A comprehensive AI code detection and analysis CLI tool for tracking AI-generated code in projects","2025-10-21T10:50:03.918Z",29,323916,16,1,"ai;code-analysis;productivity;development;cli;git-hooks;ai-tracking","https://github.com/deriv-com/fe-ai-tools#readme","https://github.com/deriv-com/fe-ai-tools","MIT","enriched",1,24,2,10218,"{""main"":""lib/index.js""}",false,"","0af4d3b1-1439-4117-b59e-46ec85830972"
"@djmahirnationtv/prismarine-viewer","1.33.9","Web based viewer with fixed Nametags, Skins and 3D Rendering Animations","2025-10-06T16:07:08.670Z",32570,340660994,12,19,"","","","MIT","enriched",1,0,0,0,"{""main"":""index.js"",""types"":""./index.d.ts""}",true,"Express;Three.js","9473a650-805e-456d-bd8b-7bfa5728b32b"
"@er77/code-graph-rag-mcp","2.7.4","Multi-agent LiteRAG MCP server for advanced code graph analysis","2025-10-29T10:43:30.152Z",14,10200569,19,14,"mcp;model-context-protocol;code-analysis;graph;rag;llm;agents;literag;typescript;sqlite;vector-search;semantic-search;claude;tree-sitter","https://github.com/er77/code-graph-rag-mcp#readme","https://github.com/er77/code-graph-rag-mcp","MIT","enriched",1,3,2,82685,"{""main"":""dist/index.js"",""types"":""./dist/index.d.ts""}",true,"TypeScript","06e5de68-08e9-4098-892a-e9b6739a5205"
"@eslint-react/var","2.3.12","ESLint React's TSESTree AST utility module for static analysis of variables.","2025-12-07T07:53:47.199Z",4,15255,6,2,"","https://github.com/Rel1cx/eslint-react","https://github.com/Rel1cx/eslint-react","MIT","enriched",1,3,0,474,"{""main"":""./dist/index.js"",""module"":""./dist/index.js"",""types"":""./dist/index.d.ts"",""exports"":""{\"".\"":{\""types\"":\""./dist/index.d.ts\"",\""import\"":\""./dist/index.js\""},\""./package.json\"":\""./package.json\""}""}",true,"TypeScript","df2592e1-8817-4544-ba73-a4ae6fea9d5b"
"@exercism/static-analysis","0.14.0","Exercism static analysis library for javascript and typescript","2024-08-08T22:33:39.356Z",101,131941,0,19,"","https://github.com/SleeplessByte/exercism-static-analysis#readme","https://github.com/SleeplessByte/exercism-static-analysis","MIT","enriched",1,99,1,4191,"{""main"":""dist/index.js"",""types"":""dist/index.d.ts""}",true,"TypeScript","a92e53e0-9d44-4aef-ac4b-2c7978862dff"
"@fastmcp-me/nervusdb-mcp","0.1.21","Official MCP server for NervusDB - Code knowledge graph with repomix integration","2025-10-19T22:38:17.870Z",4,31176,13,19,"mcp;model-context-protocol;nervusdb;knowledge-graph;code-analysis;repomix;claude;ai-tools","https://github.com/fastmcp-me/nervusdb-mcp#readme","https://github.com/fastmcp-me/nervusdb-mcp","MIT","enriched",1,2,2,212,"{}",false,"TypeScript;Express","35d6905a-08a2-44bd-bd84-5fab474e3ef2"
"@fespec/fe-lint","2.1.10","前端编码规范工程化标准脚手架","2025-11-08T04:33:23.843Z",75,138518,43,15,"fespec;lint;cli","","","ISC","enriched",1,61,1,4064,"{""main"":""./lib/index.js"",""types"":""./lib/index.d.ts""}",true,"TypeScript","e3eb22cb-b974-435e-ae06-f90a8fd84b3e"
"@followthecode/cli","1.2.43","CLI tool for Git repository analysis and data collection","2025-12-02T14:11:35.023Z",20,235483674,1,1,"git;analysis;repository;cli;follow-the-code;metrics;csv;json;s3","https://github.com/your-org/follow-the-code#readme","https://github.com/your-org/follow-the-code","UNLICENSED","enriched",1,0,0,0,"{""main"":""index.js""}",false,"","8452aafa-d2ee-480d-8ab4-ec4cb92603cd"
"@fortium/ai-mesh","3.6.3","Professional Node.js installer for Claude Configuration with cross-platform support, CLI, and programmatic API","2025-11-17T21:06:50.879Z",412,3714198,14,11,"claude-code;claude-configuration;installer;cli;automation;agents;skills;hooks;cross-platform;npm-package","https://github.com/FortiumPartners/claude-config","https://github.com/FortiumPartners/claude-config","ISC","enriched",1,162,110,49711,"{""main"":""src/api/index.js""}",false,"TypeScript;React","c1d23685-bed9-474c-bc79-8708630e1256"
"@fortium/claude-installer","2.12.0","Professional Node.js installer for Claude Configuration with cross-platform support, CLI, and programmatic API","2025-10-13T02:15:21.873Z",90,2326864,2,4,"claude-code;claude-configuration;installer;cli;automation;agents;hooks;cross-platform;npm-package","https://github.com/FortiumPartners/claude-config","https://github.com/FortiumPartners/claude-config","ISC","enriched",1,36,52,16327,"{""main"":""src/api/index.js""}",false,"","4dd1de38-42da-4ca4-9f80-06f54cf99944"
"@foxruv/agent-learning-core","0.5.0","Shared DSPy + AgentDB + LLM infrastructure for self-improving agents (NFL, microbiome, etc.)","2025-11-18T07:40:11.349Z",259,1787728,8,4,"dspy;agent;llm;agentdb;training;optimization","","","MIT","enriched",1,191,4,54822,"{""main"":""dist/index.js"",""types"":""dist/index.d.js"",""exports"":""{\"".\"":{\""types\"":\""./dist/index.d.js\"",\""default\"":\""./dist/index.js\""},\""./tools\"":{\""types\"":\""./dist/tools/index.d.js\"",\""default\"":\""./dist/tools/index.js\""}}""}",true,"TypeScript","5a274db2-ac79-4b1b-8ab9-3261173b4d69"
