Package Name,Source,Version,Size (MB),Description,Aggregation Score (0-10),Reasoning,Capabilities
mengram-ai,PyPI,2.11.0,0.269,"Human-like memory for AI — semantic, episodic & procedural. Experience-driven procedures, Cognitive Profile, unified search, memory agents. Free open-source Mem0 alternative.",10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, PyPI"
selvage,PyPI,0.4.1,0.371,LLM 기반 코드 리뷰 도구,10,✅ Web scraping | ✅ Database/storage | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker"
roam-code,PyPI,9.1.0,0.909,Instant codebase comprehension for AI coding agents,10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Data Processing | Platforms: NPM, GitHub, PyPI, Docker, Browser Extensions"
mcp-tap,PyPI,0.5.3,0.461,"The last MCP server you install by hand. Discover, install, and configure MCP servers from inside your AI assistant.",10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, PyPI, Docker"
ruvbot,NPM,0.3.1,7.533,"Enterprise-grade self-learning AI assistant with military-strength security, 150x faster vector search, and 12+ LLM models",10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, PyPI, Docker"
bpsa,PyPI,1.23.6,0.598,"Beyond Python SmolAgents (BPSA) — a multi-language, multi-agent framework forked from HuggingFace smolagents.",10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker, Browser Extensions"
penguiflow,PyPI,2.11.7,8.559,Async-first orchestration library for multi-agent and data pipelines,10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI"
enable-ai,PyPI,0.3.34,0.208,AI-powered natural language interface for REST APIs with OpenAPI support and real-time streaming,10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, PyPI, Browser Extensions"
chuscraper,PyPI,0.19.3,0.713,"A blazing fast, async-first, undetectable webscraping/web automation framework",10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker, Browser Extensions"
pmos-brain,PyPI,3.2.0,0.255,"Semantic Knowledge Graph with Graph Analytics, Event Sourcing, Enrichment Pipeline, Vector Search, MCP Server & Quality Scoring",10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI"
pyworkflow-engine,PyPI,0.1.35,0.706,"A Python implementation of durable, event-sourced workflows inspired by Vercel Workflow",10,✅ Web scraping | ✅ Database/storage | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker"
mywork-ai,PyPI,3.0.0,3.656,"Complete AI-powered development framework with 78 CLI commands for code generation, project analysis, n8n workflow automation, security scanning, and deployment",10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Platforms: NPM, GitHub, PyPI, Docker"
opencastor,PyPI,2026.2.20.10,0.722,The Universal Runtime for Embodied AI,10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker"
wunderland,NPM,0.25.0,3.449,"AI-powered personal assistant framework built on AgentOS, forked from OpenClaw channels/integrations/bridges - adaptive agents with HEXACO personality, multi-channel communication, hierarchical inference, and human-in-the-loop security",10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, PyPI, Browser Extensions, News/Articles"
local-deep-research,PyPI,1.3.52,8.572,"AI-powered research assistant with deep, iterative analysis using LLMs and web searches",10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, PyPI, Docker, News/Articles"
shotgun-sh,PyPI,0.10.11,1.08,"AI-powered research, planning, and task management CLI tool",10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker"
zen-ai-pentest,PyPI,3.0.0,2.903,Advanced AI-Powered Penetration Testing Framework with Multi-Agent Orchestration,10,✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker"
argus-debate-ai,PyPI,3.1.0,1.186,"ARGUS: Production-ready multi-agent AI debate framework with RAG, Bayesian reasoning, provenance tracking, 50+ tool integrations, OpenAPI REST generation, context caching/compression, and advanced LLM orchestration for scientific discovery, fact-checking, and evidence-based decision-making",10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker, Browser Extensions, News/Articles"
flujo,PyPI,0.6.11,2.677,"A modern, type-safe framework for building AI-powered applications with structured outputs and robust error handling.",10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker, Browser Extensions, News/Articles"
unique_toolkit,PyPI,1.46.12,8.202,,10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Browser Extensions"
sago,PyPI,0.2.0,0.147,Spec-Aware Generation Orchestrator - turns markdown specs into working code,10,✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI"
genrepo,PyPI,0.1.6,0.047,Add your description here,10,✅ Web scraping | ✅ Database/storage | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling,"Web Scraping | Database Storage | Monitoring | API Integration | Scheduling | Platforms: GitHub, PyPI, Docker"
jleechanorg-pr-automation,PyPI,0.2.153,0.46,GitHub PR automation system with safety limits and actionable counting,10,✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Browser Extensions"
parlant,PyPI,3.2.2,180.217,,10,✅ Web scraping | ✅ Database/storage | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI"
nightcrawler-mitm,PyPI,0.11.0,0.094,"A mitmproxy addon for background passive analysis, crawling, and basic active scanning, designed as a security researcher's sidekick.",10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI"
sqlstratum,PyPI,0.2.1,0.033,"Lightweight, source-first SQL AST + compiler + runner.",10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Platforms: GitHub, PyPI"
eva-exploit,PyPI,3.4.2,0.118,Exploit Vector Agent,10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI"
dashclaw,PyPI,2.0.3,0.083,Python SDK for the DashClaw AI agent decision infrastructure platform,10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, News/Articles"
rai-cli,PyPI,2.0.4,0.635,RaiSE CLI - Reliable AI Software Engineering governance framework,10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Data Processing | Platforms: GitHub, PyPI"
smellcheck,PyPI,0.3.8,1.7,"Python code smell detector -- 83 refactoring patterns, 56 AST checks, zero dependencies",10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI"
statezero,PyPI,0.1.0b73,0.224,Connect your Python backend to a modern JavaScript SPA frontend with 90% less complexity.,10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Platforms: NPM, PyPI"
spark-viewer-tui,PyPI,0.1.9,0.608,,10,✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling,"Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Platforms: GitHub, PyPI"
aixplain,PyPI,0.2.41,1.404,aiXplain SDK adds AI functions to software.,10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI"
cowork-dash,PyPI,0.3.5,2.852,"Web UI for deepagents — AI-powered workspace with streaming, file browser, and canvas",10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Monitoring/watching | ✅ API integration | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Monitoring | API Integration | Data Processing | Platforms: NPM, GitHub, PyPI"
huntd,PyPI,0.6.1,0.071,Your coding fingerprint — local git analytics dashboard for all your repos.,10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI"
ai-news-collector-lib,PyPI,0.1.5,0.709,A Python library for collecting AI-related news from multiple sources,10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, News/Articles"
graftpunk,PyPI,1.8.0,0.904,Turn any website into an API. Graft scriptable access onto authenticated web services.,10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Browser Extensions"
flyto-indexer,PyPI,1.2.0,0.294,"Code intelligence MCP server for AI-assisted development — impact analysis, semantic search, and dependency graphs",9.5,✅ Web scraping | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI"
solace-agent-mesh,PyPI,1.17.1,18.453,"Solace Agent Mesh is an open-source framework for building event-driven, multi-agent AI systems where specialized agents collaborate on complex tasks.",9.5,✅ Web scraping | ✅ Database/storage | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling,"Web Scraping | Database Storage | Monitoring | API Integration | Scheduling | Platforms: GitHub, PyPI"
sql-dag-flow,PyPI,0.2.1,1.658,A sophisticated SQL lineage visualization tool for Medallion Architectures.,9.5,✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Browser Automation | Database Storage | Indexing | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker"
abi-core-ai,PyPI,1.6.3,0.47,Agent-Based Infrastructure Core - Runtime and CLI,9.0,✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker"
empirica,PyPI,1.5.5,2.272,Genuine AI epistemic self-assessment framework - Universal interface for single AI tracking,9.0,✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker"
pactown,PyPI,0.1.166,0.588,Pactown Ecosystem Orchestrator - Build and manage decentralized microservice ecosystems from Markdown READMEs using markpact sandboxes and a centralized service registry.,9.0,✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker"
orionbelt-semantic-layer,PyPI,0.3.0,1.195,OrionBelt Semantic Layer - Compiles YAML semantic models into analytical SQL,9.0,✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Browser Extensions"
xai-review,PyPI,0.59.0,0.432,"AI-powered code review tool for GitHub, GitLab, Bitbucket Cloud, Bitbucket Server, Azure DevOps and Gitea — built with LLMs like OpenAI, Claude, Gemini, Ollama, Bedrock, OpenRouter and Azure OpenAI",9.0,✅ Web scraping | ✅ Database/storage | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker"
griptape,PyPI,1.9.3,0.592,"Modular Python framework for LLM workflows, tools, memory, and data.",9.0,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ API integration | ✅ Data processing,"Web Scraping | Database Storage | Indexing | API Integration | Data Processing | Platforms: GitHub, PyPI"
predicate-runtime,PyPI,1.1.1,0.732,Python SDK for Sentience AI Agent Browser Automation,9.0,✅ Browser automation | ✅ Database/storage | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling,"Browser Automation | Database Storage | Monitoring | API Integration | Scheduling | Platforms: GitHub, PyPI, Browser Extensions"
iris-vector-graph,PyPI,1.6.5,0.498,"Transactional Graph + Vector retrieval system for InterSystems IRIS with hybrid search, openCypher, and GraphQL APIs",9.0,✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker"
mcp-server-py2many,PyPI,0.1.1,0.022,MCP Server for py2many - transpile Python to multiple languages,8.5,✅ Web scraping | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Data processing,"Web Scraping | Indexing | Monitoring | API Integration | Data Processing | Platforms: GitHub, PyPI"
pocketpaw,PyPI,0.4.4,42.526,"The AI agent that runs on your laptop, not a datacenter. OpenClaw alternative with one-command install.",8.5,✅ Browser automation | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling,"Browser Automation | Indexing | Monitoring | API Integration | Scheduling | Platforms: GitHub, PyPI, Docker"
playwright-mcp-forge,PyPI,1.3.0,0.026,Enterprise-grade web automation with 35 MCP tools + auto-healing + optional LLM,8.5,✅ Web scraping | ✅ Browser automation | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI"
